"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SURF","Surface Oncology, Inc.","1.93","$53.77M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/surf",
"SGRY","Surgery Partners, Inc.","7.89","$392.82M","2015","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/sgry",
"SRDX","Surmodics, Inc.","46.55","$627.99M","1998","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/srdx",
"STRO","Sutro Biopharma, Inc.","10.6","$243.04M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/stro",
"SSSS","Sutter Rock Capital Corp.","6.4","$125.74M","2011","n/a","n/a","https://old.nasdaq.com/symbol/ssss",
"SIVB","SVB Financial Group","216.58","$11.16B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sivb",
"SVMK","SVMK Inc.","18.08","$2.41B","2018","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/svmk",
"SYKE","Sykes Enterprises, Incorporated","30.99","$1.29B","1996","Technology","EDP Services","https://old.nasdaq.com/symbol/syke",
"SYMC","Symantec Corporation","23.88","$14.76B","1989","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/symc",
"SYNC","Synacor, Inc.","1.58","$56.98M","2012","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/sync",
"SYNL","Synalloy Corporation","16.27","$146.35M","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/synl",
"SYNA","Synaptics Incorporated","37.59","$1.24B","2002","Technology","Semiconductors","https://old.nasdaq.com/symbol/syna",
"SNCR","Synchronoss Technologies, Inc.","6.01","$266.74M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/sncr",
"SNDX","Syndax Pharmaceuticals, Inc.","8.7","$236.09M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sndx",
"SYNH","Syneos Health, Inc.","54.92","$5.68B","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/synh",
"SYBX","Synlogic, Inc.","2.58","$81.83M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sybx",
"SNPS","Synopsys, Inc.","135.72","$20.32B","1992","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/snps",
"SES","Synthesis Energy Systems, Inc.","2.22","$3.06M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ses",
"THOR","Synthorx, Inc.","18.66","$602.08M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/thor",
"SYPR","Sypris Solutions, Inc.","1.04","$22.18M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sypr",
"SYRS","Syros Pharmaceuticals, Inc.","11.2","$475.31M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/syrs",
"TROW","T. Rowe Price Group, Inc.","114.34","$26.93B","1986","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/trow",
"TTOO","T2 Biosystems, Inc.","2.83","$126.04M","2014","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/ttoo",
"TRHC","Tabula Rasa HealthCare, Inc.","56.93","$1.26B","2016","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/trhc",
"TCMD","Tactile Systems Technology, Inc.","49.39","$936.84M","2016","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/tcmd",
"TAIT","Taitron Components Incorporated","2.82","$16.22M","1995","Technology","Electronic Components","https://old.nasdaq.com/symbol/tait",
"TLC","Taiwan Liposome Company, Ltd.","5.0101","$160.39M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tlc",
"TTWO","Take-Two Interactive Software, Inc.","130.56","$14.78B","1997","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ttwo",
"TLND","Talend S.A.","38.1","$1.17B","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/tlnd",
"TNDM","Tandem Diabetes Care, Inc.","63.88","$3.75B","2013","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/tndm",
"TLF","Tandy Leather Factory, Inc.","4.37","$39.04M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/tlf",
"TANH","Tantech Holdings Ltd.","1.56","$45.01M","2015","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/tanh",
"TAOP","Taoping Inc.","0.57","$23.8M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/taop",
"TEDU","Tarena International, Inc.","1.15","$61.04M","2014","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/tedu",
"TH","Target Hospitality Corp.","6.66","$700.9M","2018","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/th",
"THWWW","Target Hospitality Corp.","1.17","n/a","2018","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/thwww",
"TRNX","Taronis Technologies, Inc.","2.15","$37.06M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/trnx",
"TATT","TAT Technologies Ltd.","4.95","$45.29M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/tatt",
"TAYD","Taylor Devices, Inc.","11.1","$38.62M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tayd",
"TCF","TCF Financial Corporation","39.69","$6.09B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcf",
"TCFCP","TCF Financial Corporation","25.83","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcfcp",
"CGBD","TCG BDC, Inc.","14.9","$890.35M","2017","n/a","n/a","https://old.nasdaq.com/symbol/cgbd",
"TCRR","TCR2 Therapeutics Inc.","17.96","$430.44M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/tcrr",
"AMTD","TD Ameritrade Holding Corporation","49.27","$27.03B","1997","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/amtd",
"PETZ","TDH Holdings, Inc.","1.62","$20.28M","2017","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/petz",
"TECD","Tech Data Corporation","102.47","$3.65B","1986","Technology","Retail: Computer Software & Peripheral Equipment","https://old.nasdaq.com/symbol/tecd",
"TCCO","Technical Communications Corporation","2.7","$5M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/tcco",
"TTGT","TechTarget, Inc.","24.72","$683.56M","2007","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ttgt",
"TGLS","Tecnoglass Inc.","7.84","$351.69M","2012","Consumer Durables","Electronic Components","https://old.nasdaq.com/symbol/tgls",
"TGEN","Tecogen Inc.","2.52","$62.61M","2014","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tgen",
"TECTP","Tectonic Financial, Inc.","10.83","$16.25M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/tectp",
"TNAV","Telenav, Inc.","5.27","$248.87M","2010","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tnav",
"TLGT","Teligent, Inc.","0.96","$51.7M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tlgt",
"TELL","Tellurian Inc.","8.68","$2.1B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tell",
"TENB","Tenable Holdings, Inc.","24.03","$2.33B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/tenb",
"TENX","Tenax Therapeutics, Inc.","1.34","$9.03M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/tenx",
"TZAC","Tenzing Acquisition Corp.","10.3368","$85.43M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzac",
"TZACU","Tenzing Acquisition Corp.","10.5","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzacu",
"TZACW","Tenzing Acquisition Corp.","0.2491","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tzacw",
"TER","Teradyne, Inc.","58.21","$9.89B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/ter",
"TERP","TerraForm Power, Inc.","17.57","$3.67B","2014","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/terp",
"TBNK","Territorial Bancorp Inc.","29.41","$284.45M","2009","Finance","Savings Institutions","https://old.nasdaq.com/symbol/tbnk",
"TSLA","Tesla, Inc. ","240.62","$43.1B","2010","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/tsla",
"TESS","TESSCO Technologies Incorporated","14.25","$121.43M","1994","Technology","Electronic Components","https://old.nasdaq.com/symbol/tess",
"TTEK","Tetra Tech, Inc.","84.38","$4.61B","1991","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/ttek",
"TTPH","Tetraphase Pharmaceuticals, Inc.","0.3149","$17.1M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ttph",
"TCBI","Texas Capital Bancshares, Inc.","55.68","$2.8B","2003","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbi",
"TCBIL","Texas Capital Bancshares, Inc.","26.23","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbil",
"TCBIP","Texas Capital Bancshares, Inc.","26.25","$157.5M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbip",
"TXN","Texas Instruments Incorporated","126.67","$118.26B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/txn",
"TXRH","Texas Roadhouse, Inc.","51.54","$3.59B","2004","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/txrh",
"TFSL","TFS Financial Corporation","18.05","$5.05B","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/tfsl",
"TGTX","TG Therapeutics, Inc.","6.04","$572.32M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tgtx",
"WTER","The Alkaline Water Company Inc.","1.71","$44.22M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/wter",
"ANDE","The Andersons, Inc.","26.22","$854.77M","n/a","Consumer Services","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/ande",
"TBBK","The Bancorp, Inc.","10.19","$578.54M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tbbk",
"BPRN","The Bank of Princeton","29.4","$198.27M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bprn",
"CG","The Carlyle Group L.P.","26.6","$9.08B","2012","Finance","Investment Managers","https://old.nasdaq.com/symbol/cg",
"TCGP","The Carlyle Group L.P.","25.33","$405.28M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/tcgp",
"CAKE","The Cheesecake Factory Incorporated","40.03","$1.79B","1992","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/cake",
"CHEF","The Chefs&#39; Warehouse, Inc.","40.47","$1.23B","2011","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/chef",
"TCFC","The Community Financial Corporation","32.93","$183.86M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcfc",
"DSGX","The Descartes Systems Group Inc.","39.81","$3.35B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dsgx",
"DXYN","The Dixie Group, Inc.","1.28","$20.96M","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/dxyn",
"ENSG","The Ensign Group, Inc.","50.15","$2.68B","2007","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ensg",
"ENSGV","The Ensign Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ensgv",
"XONE","The ExOne Company","9.14","$150.03M","2013","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/xone",
"FBMS","The First Bancshares, Inc.","33.04","$565.76M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fbms",
"FLIC","The First of Long Island Corporation","23.13","$570.64M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/flic",
"GT","The Goodyear Tire & Rubber Company","13.82","$3.21B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/gt",
"HABT","The Habit Restaurants, Inc.","8.96","$233.95M","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/habt",
"HCKT","The Hackett Group, Inc.","17.2","$513.53M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/hckt",
"HAIN","The Hain Celestial Group, Inc.","20.9","$2.18B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/hain",
"CUBA","The Herzfeld Caribbean Basin Fund, Inc.","6.3696","$39.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cuba",
"INTG","The Intergroup Corporation","29.75","$69.24M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/intg",
"JYNT","The Joint Corp.","18.91","$261.79M","2014","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/jynt",
"KHC","The Kraft Heinz Company","28.14","$34.33B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/khc",
"OLD","The Long-Term Care ETF","30.6553","$30.66M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/old",
"LOVE","The Lovesac Company","20.66","$300.37M","2018","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/love",
"MSG","The Madison Square Garden Company","268.52","$6.38B","2015","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/msg",
"MDCO","The Medicines Company","49.11","$3.9B","2000","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mdco",
"MEET","The Meet Group, Inc.","3.48","$265.38M","n/a","Consumer Services","Advertising","https://old.nasdaq.com/symbol/meet",
"MIK","The Michaels Companies, Inc.","8.66","$1.34B","2014","Consumer Services","Recreational Products/Toys","https://old.nasdaq.com/symbol/mik",
"MIDD","The Middleby Corporation","115.33","$6.42B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/midd",
"SLIM","The Obesity ETF","34.6344","$10.39M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/slim",
"STKS","The ONE Group Hospitality, Inc.","2.8","$80.66M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/stks",
"ORG","The Organics ETF","25.11","$7.53M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/org",
"PECK","The Peck Company Holdings, Inc.","5.05","$27.65M","2016","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/peck",
"PNTGV","The Pennant Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pntgv",
"PRSC","The Providence Service Corporation","58.84","$763.37M","2003","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/prsc",
"REAL","The RealReal, Inc.","16.93","$1.44B","2019","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/real",
"RMR","The RMR Group Inc.","45.29","$1.41B","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/rmr",
"SMPL","The Simply Good Foods Company","29.23","$2.39B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/smpl",
"TSG","The Stars Group Inc.","15.8","$4.55B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/tsg",
"TTD","The Trade Desk, Inc.","207.05","$9.31B","2016","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/ttd",
"YORW","The York Water Company","41.27","$535.5M","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/yorw",
"NCTY","The9 Limited","1.1","$34.86M","2004","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ncty",
"TXMD","TherapeuticsMD, Inc.","3.71","$894.93M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/txmd",
"TRPX","Therapix Biosciences Ltd.","3","$13.24M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/trpx",
"TBPH","Theravance Biopharma, Inc.","22.58","$1.28B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tbph",
"TCRD","THL Credit, Inc.","6.9","$214.35M","2010","n/a","n/a","https://old.nasdaq.com/symbol/tcrd",
"THBRU","Thunder Bridge Acquisition II, Ltd.","10.18","$305.4M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/thbru",
"TIBR","Tiberius Acquisition Corporation","10.3","$222.09M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tibr",
"TIBRU","Tiberius Acquisition Corporation","10.8","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tibru",
"TIBRW","Tiberius Acquisition Corporation","0.51","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tibrw",
"TTS","Tile Shop Hldgs, Inc.","3.13","$159.36M","n/a","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/tts",
"TLRY","Tilray, Inc.","29","$2.83B","2018","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/tlry",
"TSBK","Timberland Bancorp, Inc.","27.54","$229.71M","n/a","Finance","Banks","https://old.nasdaq.com/symbol/tsbk",
"TIPT","Tiptree Inc.","7.21","$249.12M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/tipt",
"TITN","Titan Machinery Inc.","14.69","$328.38M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/titn",
"TMDI","Titan Medical Inc.","2.07","$64.48M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/tmdi",
"TTNP","Titan Pharmaceuticals, Inc.","0.3629","$5.71M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ttnp",
"TVTY","Tivity Health, Inc.","17.22","$823.69M","n/a","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/tvty",
"TIVO","TiVo Corporation","8","$1.01B","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/tivo",
"TLSA","Tiziana Life Sciences plc","6.36","$86.79M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tlsa",
"TKKS","TKK Symphony Acquisition Corporation","10.19","$320.48M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tkks",
"TKKSR","TKK Symphony Acquisition Corporation","0.28","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tkksr",
"TKKSU","TKK Symphony Acquisition Corporation","10.4","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tkksu",
"TKKSW","TKK Symphony Acquisition Corporation","0.09","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tkksw",
"TMUS","T-Mobile US, Inc.","80.59","$68.86B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tmus",
"TMSR","TMSR Holding Company Limited","0.8752","$19.05M","2015","Finance","Business Services","https://old.nasdaq.com/symbol/tmsr",
"TOCA","Tocagen Inc.","0.7644","$18.27M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/toca",
"TNXP","Tonix Pharmaceuticals Holding Corp.","0.4621","$7.1M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tnxp",
"TOPS","TOP Ships Inc.","3.2","$5.07M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/tops",
"TRCH","Torchlight Energy Resources, Inc.","1.18","$86.94M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/trch",
"TRMD","TORM plc","8.45","$624.46M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/trmd",
"TOTA","Tottenham Acquisition I Limited","10.3","$61.44M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tota",
"TOTAR","Tottenham Acquisition I Limited","0.29","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/totar",
"TOTAU","Tottenham Acquisition I Limited","10.5","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/totau",
"TOTAW","Tottenham Acquisition I Limited","0.0512","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/totaw",
"TBLT","ToughBuilt Industries, Inc.","0.3564","$9.15M","2018","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tblt",
"TBLTU","ToughBuilt Industries, Inc.","1.9697","n/a","2018","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tbltu",
"TBLTW","ToughBuilt Industries, Inc.","0.0135","n/a","2018","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tbltw",
"TSEM","Tower Semiconductor Ltd.","19.6","$2.09B","1994","Technology","Semiconductors","https://old.nasdaq.com/symbol/tsem",
"CLUB","Town Sports International Holdings, Inc.","1.61","$45.03M","2006","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/club",
"TOWN","Towne Bank","27.89","$2.03B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/town",
"TPIC","TPI Composites, Inc.","19.73","$693.58M","2016","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tpic",
"TCON","TRACON Pharmaceuticals, Inc.","0.47","$14.07M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/tcon",
"TSCO","Tractor Supply Company","90.39","$10.78B","1994","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/tsco",
"TW","Tradeweb Markets Inc.","40.25","$8.94B","2019","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/tw",
"TWMC","Trans World Entertainment Corp.","3.2","$5.8M","n/a","Consumer Services","Consumer Electronics/Video Chains","https://old.nasdaq.com/symbol/twmc",
"TACT","TransAct Technologies Incorporated","12.67","$94.64M","1996","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/tact",
"TRNS","Transcat, Inc.","23.54","$171.98M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/trns",
"TGA","TransGlobe Energy Corporation","1.43","$103.74M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tga",
"TBIO","Translate Bio, Inc.","10.08","$514.18M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/tbio",
"TMDX","TransMedics Group, Inc.","24.73","$522.27M","2019","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/tmdx",
"TA","TravelCenters of America Inc. ","12.49","$101.01M","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/ta",
"TANNI","TravelCenters of America Inc. ","25.65","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/tanni",
"TANNL","TravelCenters of America Inc. ","25.33","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/tannl",
"TANNZ","TravelCenters of America Inc. ","25.59","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/tannz",
"TZOO","Travelzoo","10.9","$127.92M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/tzoo",
"TRMT","Tremont Mortgage Trust","4.89","$40.06M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/trmt",
"TRVN","Trevena, Inc.","0.975","$90.25M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/trvn",
"TRVI","Trevi Therapeutics, Inc.","4.65","$82.93M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/trvi",
"TPCO","Tribune Publishing Company","8.38","$299.56M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/tpco",
"TCDA","Tricida, Inc.","33.13","$1.64B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tcda",
"TCBK","TriCo Bancshares","36.96","$1.13B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tcbk",
"TDAC","Trident Acquisitions Corp.","10.41","$273.85M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tdac",
"TDACU","Trident Acquisitions Corp.","10.65","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tdacu",
"TDACW","Trident Acquisitions Corp.","0.1527","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tdacw",
"TRIL","Trillium Therapeutics Inc.","0.39","$10.94M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tril",
"TRS","TriMas Corporation","30.88","$1.4B","2007","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/trs",
"TRMB","Trimble Inc.","38.56","$9.71B","1990","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/trmb",
"TRIB","Trinity Biotech plc","1.37","$28.64M","1992","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/trib",
"TMCX","Trinity Merger Corp.","10.44","$450.23M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tmcx",
"TMCXU","Trinity Merger Corp.","11.7486","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tmcxu",
"TMCXW","Trinity Merger Corp.","1.34","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/tmcxw",
"TRIP","TripAdvisor, Inc.","39.13","$5.45B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/trip",
"TSC","TriState Capital Holdings, Inc.","21.32","$625.23M","2013","Finance","Major Banks","https://old.nasdaq.com/symbol/tsc",
"TSCAP","TriState Capital Holdings, Inc.","27.09","$794.44M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tscap",
"TSCBP","TriState Capital Holdings, Inc.","26.69","$74.73M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tscbp",
"TBK","Triumph Bancorp, Inc.","32.27","$845.65M","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/tbk",
"TRVG","trivago N.V.","4.5","$1.58B","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/trvg",
"TROV","TrovaGene, Inc.","1.71","$10.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/trov",
"TRUE","TrueCar, Inc.","3.66","$388.64M","2014","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/true",
"TRUP","Trupanion, Inc.","26.86","$934.46M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/trup",
"TRST","TrustCo Bank Corp NY","8.26","$800.48M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/trst",
"TRMK","Trustmark Corporation","34.13","$2.2B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/trmk",
"TSRI","TSR, Inc.","3.6","$7.06M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/tsri",
"TTEC","TTEC Holdings, Inc.","49.59","$2.31B","1996","Technology","Professional Services","https://old.nasdaq.com/symbol/ttec",
"TTMI","TTM Technologies, Inc.","12.29","$1.3B","2000","Technology","Electrical Products","https://old.nasdaq.com/symbol/ttmi",
"TC","TuanChe Limited","2.46","$177.91M","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/tc",
"TCX","Tucows Inc.","55.21","$588.73M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/tcx",
"TUES","Tuesday Morning Corp.","1.66","$77.44M","1999","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/tues",
